id;nome;cpf;salario;data_nasc
1;including;purchase;5746.69;2023-11-06
2;into yearningly;versus;24292.26;2023-11-06
3;brr reasonable;in;15754.93;2023-11-06
4;but modulo;unnecessarily corporal expurgate;17044.3;2023-11-06
5;consequently;fervently;29440.74;2023-11-06
6;consequently;real at;3941.45;2023-11-06
7;anti elite action;whether;11637.96;2023-11-05
8;fooey awkwardly;elegantly;25232.29;2023-11-06
9;eek achieve secularize;astride next;22566.81;2023-11-06
10;lest;trifle blah;29075.86;2023-11-05
